,ID,Time,Category,Channel,Duration,EndPoint,Back_count,Forward_count,Dash_count,Max_Speed_x,Time_int,앞뒤이동차이,앞이동배속차이,뒤이동배속차이,이동전체배속차이,대쉬배속차이,앞이동대쉬차이,뒤이동대쉬차이,이동전체대쉬차이,Max_Speed_binary,Category_Mapped_Value,Max_Speed_x_categorical
1129,mq6L0xXR,2024-04-13 20:57:12_057063,Gaming,이도원,490,0.0,0,0,0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1130,mq6L0xXR,2024-04-13 20:57:21_421663,Gaming,이도원,1096,0.539369,0,0,0,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1131,mq6L0xXR,2024-04-13 21:06:43_363383,Gaming,이도원,539,530.272716,0,0,0,1.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1132,mq6L0xXR,2024-04-13 21:27:52_819806,Entertainment,미미미누,1739,1720.218969,0,0,0,1.5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8571428571428572,1.5
1133,mq6L0xXR,2024-04-14 01:41:48_203323,Gaming,나무늘보,296,31.696885,4,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1134,mq6L0xXR,2024-04-14 01:42:57_450927,Gaming,이도원,229,5.73647,0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1135,mq6L0xXR,2024-04-14 01:43:33_868116,Gaming,나무늘보,296,12.046417,0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.666666666666666,1
1136,mq6L0xXR,2024-04-14 01:44:47_869523,Film & Animation,L s,26,10.82053,0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
1137,mq6L0xXR,2024-04-14 03:40:05_930076,Gaming,나무늘보,296,287.558036,4,0,0,1.5,3,0.0,0.0,76.09382849999999,76.09382849999999,0.0,0.0,0.0,0.0,1,9.666666666666666,1.5
1138,mq6L0xXR,2024-04-14 03:50:51_451820,Gaming,이도원,627,618.354625,1,0,0,1.0,3,0.0,0.0,55.792691500000004,55.792691500000004,0.0,0.0,0.0,0.0,0,9.666666666666666,1
