ID,Time,Category,Channel,Duration,EndPoint,Back_count,Forward_count,Dash_count,Max_Speed_x,Time_int,앞뒤이동차이,앞이동배속차이,뒤이동배속차이,이동전체배속차이,대쉬배속차이,앞이동대쉬차이,뒤이동대쉬차이,이동전체대쉬차이,Max_Speed_binary,Category_Mapped_Value,Max_Speed_x_categorical
jYLSqElv,2024-04-13 07:34:25_018758,News & Politics,JTBC News,107,94.55948,1,0,0,1.0,7,0.0,0.0,0.573836,0.573836,0.0,0.0,0.0,0.0,0,33.0,1
jYLSqElv,2024-04-13 07:37:17_781,News & Politics,JTBC News,132,106.990988,0,0,0,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.0,1
jYLSqElv,2024-04-13 07:41:15_509840,News & Politics,서울신문 ,50,49.481,1,0,0,1.0,7,0.0,0.0,0.078473,0.078473,0.0,0.0,0.0,0.0,0,33.0,1
jYLSqElv,2024-04-13 07:45:12_464560,Education,폴리스 스토리,151,139.454758,1,1,0,1.0,7,14.545336,15.0,0.454664,7.727332,0.0,0.0,0.0,0.0,0,4.0,1
jYLSqElv,2024-04-13 08:02:04_354471,News & Politics,트루퍼미헌,808,25.35392,3,1,0,1.0,8,24.905160666666664,25.240117,0.33495633333333336,6.5612465,0.0,0.0,0.0,0.0,0,33.0,1
jYLSqElv,2024-04-13 08:16:06_128318,Education,또모TOWMOO,1017,1000.9302,0,1,0,1.5,8,0.0,12.229293333333333,0.0,12.229293333333333,0.0,0.0,0.0,0.0,1,4.0,1.5
jYLSqElv,2024-04-13 08:27:49_571363,Education,또모TOWMOO,722,690.115298,0,1,0,1.0,8,0.0,99.82803475,0.0,99.82803475,0.0,0.0,0.0,0.0,0,4.0,1
jYLSqElv,2024-04-13 08:31:42_949347,News & Politics,크랩 KLAB,124,119.06567,1,0,0,1.0,8,0.0,0.0,0.070683,0.070683,0.0,0.0,0.0,0.0,0,33.0,1
jYLSqElv,2024-04-13 08:33:58_382838,News & Politics,MBCNEWS,117,87.885993,0,1,0,1.0,8,0.0,16.012446,0.0,16.012446,0.0,0.0,0.0,0.0,0,33.0,1
jYLSqElv,2024-04-13 08:36:21_476111,News & Politics,엠빅뉴스,195,148.768741,2,2,0,1.0,8,79.218259,99.1708985,19.9526395,59.561769,0.0,0.0,0.0,0.0,0,33.0,1
