ID,Time,URL,Back,Forward,Dash,Speed,EndPoint,Category,Channel,Duration
apmanBZY,2024-04-12 12:32:48_601467,https://m.youtube.com/watch?v=2CQX7ZLDmR4&pp=ygUW7YOB7J6s7ZuIIOyVhOuKlO2YleuLmA%3D%3D,[],"[40.510669,71.092222,101.191237,131.843768,142.129016,169.685112]",[],"[[1, 0]]",170.067407,Entertainment,JTBC Voyage,946
apmanBZY,2024-04-12 12:34:51_488625,https://m.youtube.com/watch?v=2CQX7ZLDmR4&t=665s,[840.987257],"[665.114824,688.965745,699.103945,729.07777,740.723368,837.944992,850.165052]",[],"[[1, 0]]",850.95031,Entertainment,JTBC Voyage,946
apmanBZY,2024-04-12 12:34:52_637415,https://m.youtube.com/watch?v=2CQX7ZLDmR4&pp=ygUW7YOB7J6s7ZuIIOyVhOuKlO2YleuLmA%3D%3D,[],[],[],"[[1, 0.195557], [1, 0.195639]]",850.95031,Entertainment,JTBC Voyage,946
apmanBZY,2024-04-12 12:37:38_450899,https://m.youtube.com/watch?v=8Ms_PHqmEmg&pp=ygUW7YOB7J6s7ZuIIOyVhOuKlO2YleuLmA%3D%3D,[],[],[],"[[1, 0]]",158.410021,Entertainment,JTBC Entertainment,177
apmanBZY,2024-04-12 12:37:53_088810,https://m.youtube.com/watch?v=8Ms_PHqmEmg&t=165s,[],[165.681608],[],"[[1, 165]]",176.621,Entertainment,JTBC Entertainment,177
apmanBZY,2024-04-12 12:38:04_046065,https://m.youtube.com/watch?v=sSEZkWjB_hU,[],[],[],"[[1, 0], [1, 5.133862]]",10.2463,Entertainment,JTBC Voyage,861
apmanBZY,2024-04-12 12:47:14_396299,https://m.youtube.com/watch?v=sSEZkWjB_hU&t=365s,"[319.937113,0.584047,61.157281,362.785516,484.566429]","[365.244577,345.314043,355.387799,375.196704,32.319662,47.42272,58.040153,68.418725,77.635277,118.944263,134.823773,145.388129,156.142154,168.211159,185.96104,196.149343,206.367504,219.450487,230.235804,242.578962,252.644102,263.31108,273.710446,283.884492,296.442701,307.205208,318.453176,332.32434,342.429623,361.585285,372.245838,421.033324,469.909992,480.143107,492.9819,510.376163,520.976844,751.308373,764.703751]","[[820.528172,829.625854]]","[[1, 0]]",840.629942,Entertainment,JTBC Voyage,861
apmanBZY,2024-04-12 12:50:52_238991,https://m.youtube.com/watch?v=djuRqN7zANg,"[0.606447,0]","[70.803216,81.225959,140.190601]",[],"[[1, 0.051602]]",179.521,Entertainment,JTBC Entertainment,180
apmanBZY,2024-04-12 12:51:19_306385,https://m.youtube.com/watch?v=uRnqxR4aKd8,[],[],[],"[[1, 0.019803]]",25.993005,Entertainment,JTBC Voyage,750
apmanBZY,2024-04-12 12:52:00_811095,https://m.youtube.com/watch?v=GlE7f8AnbrA,[],[],[],"[[1, 0]]",39.785275,Entertainment,JTBC Voyage,3842
apmanBZY,2024-04-12 12:52:05_663023,https://m.youtube.com/watch?v=GlE7f8AnbrA&t=69s,[0],[69.304916],[],"[[1, 0]]",71.303854,Entertainment,JTBC Voyage,3842
apmanBZY,2024-04-12 12:52:09_639091,https://m.youtube.com/watch?v=GlE7f8AnbrA,[],[],[],"[[1, 0]]",2.706131,Entertainment,JTBC Voyage,3842
apmanBZY,2024-04-12 12:52:15_047352,https://m.youtube.com/watch?v=Ya4PGcGb36w&pp=ygUT66Ck7JqxIOyWtOumsOyZleyekA%3D%3D,[],[],[],"[[1, 0]]",1.203616,Music,HYUK TUBE,255
apmanBZY,2024-04-12 12:55:22_937359,https://m.youtube.com/watch?v=-mZG68h1aro,[],[],[],"[[1, 0.243641]]",2.081209,Music,HYUK TUBE,213
apmanBZY,2024-04-12 12:55:28_418062,https://m.youtube.com/watch?v=Ya4PGcGb36w&pp=ygUT66Ck7JqxIOyWtOumsOyZleyekA%3D%3D,[],[],[],"[[1, 0], [1, 0]]",4.426821,Music,HYUK TUBE,255
